Ticker,Name,Location,Exchange,Currency,Asset Class
4507,SHIONOGI,Japan,Tokyo Stock Exchange,USD,Equity
1585,YADEA GROUP HOLDINGS,China,Hong Kong Exchanges And Clearing Ltd,USD,Equity
SGRO,SEGRO REIT PLC,United Kingdom,London Stock Exchange,USD,Equity
EDPR,EDP RENEWABLES SA,Portugal,Nyse Euronext - Euronext Lisbon,USD,Equity
247540,ECOPRO BM LTD,Korea (South),Korea Exchange (Kosdaq),USD,Equity
CLAR,CAPITALAND ASCENDAS REIT,Singapore,Singapore Exchange,USD,Equity
001979,CHINA MERCHANTS SHEKOU INDUSTRIAL,China,Shenzhen Stock Exchange,USD,Equity
VER,VERBUND AG,Austria,Wiener Boerse Ag,USD,Equity
COV,COVIVIO SA,France,Nyse Euronext - Euronext Paris,USD,Equity
IPN,IPSEN SA,France,Nyse Euronext - Euronext Paris,USD,Equity
300274,SUNGROW POWER SUPPLY LTD A,China,Shenzhen Stock Exchange,USD,Equity
SOBI,SWEDISH ORPHAN BIOVITRUM,Sweden,Nasdaq Omx Nordic,USD,Equity
12,HENDERSON LAND DEVELOPMENT LTD,Hong Kong,Hong Kong Exchanges And Clearing Ltd,USD,Equity
NRP,NEPI ROCKCASTLE,South Africa,Johannesburg Stock Exchange,USD,Equity
ENLT,ENLIGHT RENEWABLE ENERGY,Israel,Tel Aviv Stock Exchange,USD,Equity
1801,INNOVENT BIOLOGICS,China,Hong Kong Exchanges And Clearing Ltd,USD,Equity
1093,CSPC PHARMACEUTICAL GROUP,China,Hong Kong Exchanges And Clearing Ltd,USD,Equity
VCX,VICINITY CENTRES,Australia,Asx - All Markets,USD,Equity
9633,NONGFU SPRING LTD H,China,Hong Kong Exchanges And Clearing Ltd,USD,Equity
002202,GOLDWIND SCIENCE&amp;TECHNOLOGY LTD A,China,Shenzhen Stock Exchange,USD,Equity
4151,KYOWA KIRIN LTD,Japan,Tokyo Stock Exchange,USD,Equity
8951,NIPPON BUILDING FUND REIT,Japan,Tokyo Stock Exchange,USD,Equity
SPSN,SWISS PRIME SITE AG,Switzerland,SIX Swiss Exchange,USD,Equity
LUPIN,LUPIN,India,National Stock Exchange Of India,USD,Equity
LAND,LAND SECURITIES GROUP REIT PLC,United Kingdom,London Stock Exchange,USD,Equity
301358,HUNAN YUNENG NEW ENERGY BATTERY MA,China,Shenzhen Stock Exchange,USD,Equity
GFC,GECINA SA,France,Nyse Euronext - Euronext Paris,USD,Equity
DEMANT,DEMANT,Denmark,Omx Nordic Exchange Copenhagen A/S,USD,Equity
INSM,INSMED,United States,NASDAQ,USD,Equity
2082,ACWA POWER CO,Saudi Arabia,Saudi Stock Exchange,USD,Equity
REC,RECORDATI INDUSTRIA CHIMICA E FARM,Italy,Borsa Italiana,USD,Equity
000895,HENAN SHUANGHUI INVESTMENT &amp; DEVEL,China,Shenzhen Stock Exchange,USD,Equity
NESTLEIND,NESTLE INDIA LTD,India,National Stock Exchange Of India,USD,Equity
