ticker,name_source,location,exchange_source,currency,asset_class,exchange_code,figi,composite_figi,share_class_figi,security_name,security_type,security_type_2,market_sector,security_description,match_count,status
MOWI,MOWI,Norway,Oslo Bors Asa,USD,Equity,NO,BBG000JDLY02,BBG000JDLX22,BBG001SB2PP7,MOWI ASA,Common Stock,Common Stock,Equity,MOWI,1,MATCH
MAS,MASCO,United States,NYSE,USD,Equity,US,BBG000BNNKG9,BBG000BNNKG9,BBG001S5SZ70,MASCO CORP,Common Stock,Common Stock,Equity,MAS,1,MATCH
SIGMAFA,ALFA A,Mexico,Bolsa Mexicana De Valores,USD,Equity,MM,BBG000BQC595,BBG000BQC595,BBG001SDG7X9,SIGMA FOODS SAB DE CV,Common Stock,Common Stock,Equity,SIGMAFA,1,MATCH
300750,CONTEMPORARY AMPEREX TECHNOLOGY A,China,Shenzhen Stock Exchange,USD,Equity,SZ,,,,,,,,,0,NO_MATCH
SAP,SAPUTO,Canada,Toronto Stock Exchange,USD,Equity,CN,BBG000BHGZT3,BBG000BHGZT3,BBG001S7PK09,SAPUTO INC,Common Stock,Common Stock,Equity,SAP,1,MATCH
2319,CHINA MENGNIU DAIRY LTD,China,Hong Kong Exchanges And Clearing Ltd,USD,Equity,HK,BBG000PXTGY5,BBG000PXTGG5,BBG001SLX9R5,CHINA MENGNIU DAIRY CO,Common Stock,Common Stock,Equity,2319,1,MATCH
4568,DAIICHI SANKYO LTD,Japan,Tokyo Stock Exchange,USD,Equity,JP,BBG000BWPLT1,BBG000BWPLT1,BBG001SJB4R5,DAIICHI SANKYO CO LTD,Common Stock,Common Stock,Equity,4568,1,MATCH
PSON,PEARSON PLC,United Kingdom,London Stock Exchange,USD,Equity,LN,BBG000BDY8C0,BBG000BDY849,BBG001S630G2,PEARSON PLC,Common Stock,Common Stock,Equity,PSON,1,MATCH
9863,ZHEJIANG LEAPMOTOR TECHNOLOGY LTD,China,Hong Kong Exchanges And Clearing Ltd,USD,Equity,HK,BBG0169H8NM5,BBG0169H8NL6,BBG0169H8NN4,ZHEJIANG LEAPMOTOR TECHNOL-H,Common Stock,Common Stock,Equity,9863,1,MATCH
ORSTED,ORSTED A/S,Denmark,Omx Nordic Exchange Copenhagen A/S,USD,Equity,DC,BBG00B2HPN16,BBG000BXG658,BBG001S7BMJ0,ORSTED A/S,Common Stock,Common Stock,Equity,ORSTED,1,MATCH
RIVN,RIVIAN AUTOMOTIVE INC CLASS A,United States,NASDAQ,USD,Equity,US,BBG00741Y1N2,BBG00741Y1N2,BBG00741Y1P0,RIVIAN AUTOMOTIVE INC-A,Common Stock,Common Stock,Equity,RIVN,1,MATCH
EW,EDWARDS LIFESCIENCES,United States,NYSE,USD,Equity,US,BBG000BRXP69,BBG000BRXP69,BBG001SF2288,EDWARDS LIFESCIENCES CORP,Common Stock,Common Stock,Equity,EW,1,MATCH
